N E X T F L O W  ~  version 21.10.6
Launching `mips_mrd.nf` [lonely_ekeblad] - revision: 7335522416

STARTING PIPELINE
=*=*=*=*=*=*=*=*=
Sample list: /home/pipelines/Consensus_pipeline_with_espresso/samplesheet.csv
BED file: /home/pipelines/Consensus_pipeline_with_espresso/bedfiles/mips_mrd_bal210125_sortd.bed
Sequences in:/home/pipelines/Consensus_pipeline_with_espresso/sequences/

WARN: Nextflow version 21.10.6 does not match workflow required version: 20.10.0 -- Execution will continue, but things may break!
[bf/c117f1] Submitted process > MRD:trimming (25NGS663-MIPSMRD)
[19/5dc78e] Submitted process > MRD:trimming (25MNGS69-MIPSMRD)
[ec/f6658c] Submitted process > MRD:trimming (25NGS569-MIPSMRD)
[b1/e68719] Submitted process > MRD:trimming (25NGS636-MIPSMRD)
[88/8d48f4] Submitted process > MRD:trimming (25RSEQ217-MIPSMRD)
[6f/ec264e] Submitted process > MRD:trimming (25NGS686-MIPSMRD)
[ea/28981b] Submitted process > MRD:trimming (25NGS667-MIPSMRD)
[7a/85f8ef] Submitted process > MRD:trimming (25NGS628-MIPSMRD)
[39/1977f6] Submitted process > MRD:trimming (25NGS647-MIPSMRD)
[3a/02274d] Submitted process > MRD:FastqToBam (1)
[92/77f611] Submitted process > MRD:pair_assembly_pear (25NGS663-MIPSMRD)
[d7/388b46] Submitted process > MRD:mapping_reads (1)
[10/889b41] Submitted process > MRD:MapBam (25NGS663-MIPSMRD)
[c1/60d51a] Submitted process > MRD:sam_conversion (1)
[18/4f7eee] Submitted process > MRD:minimap_getitd (1)
[47/518077] Submitted process > MRD:coverage_bedtools_uncoll (25NGS663-MIPSMRD)
[b7/3bf633] Submitted process > MRD:hsmetrics_run_uncoll (25NGS663-MIPSMRD)
[b4/ad79e4] Submitted process > MRD:vardict_uncoll (1)
[2d/07c7f6] Submitted process > MRD:coverage_mosdepth_uncoll (1)
[a0/9a92a3] Submitted process > MRD:mutect2_run_uncoll (25NGS663-MIPSMRD)
[a6/f4c49c] Submitted process > MRD:varscan_uncoll (1)
[3a/6f262f] Submitted process > MRD:FastqToBam (2)
[07/b3cf1b] Submitted process > MRD:pair_assembly_pear (25NGS647-MIPSMRD)
[81/86d818] Submitted process > MRD:MapBam (25NGS647-MIPSMRD)
[9c/927353] Submitted process > MRD:mapping_reads (2)
[c3/ca27e6] Submitted process > MRD:sam_conversion (2)
[41/ff44f0] Submitted process > MRD:GroupReadsByUmi (25NGS663-MIPSMRD)
[a1/235faa] Submitted process > MRD:hsmetrics_run_uncoll (25NGS647-MIPSMRD)
[8d/3432bc] Submitted process > MRD:coverage_bedtools_uncoll (25NGS647-MIPSMRD)
[1d/62900f] Submitted process > MRD:coverage_mosdepth_uncoll (2)
[46/fb7d8c] Submitted process > MRD:minimap_getitd (2)
[01/315d0b] Submitted process > MRD:mutect2_run_uncoll (25NGS647-MIPSMRD)
[65/9eaefe] Submitted process > MRD:varscan_uncoll (2)
[73/fa6cd4] Submitted process > MRD:vardict_uncoll (2)
[08/b59997] Submitted process > MRD:somaticSeq_run_uncoll (25NGS663-MIPSMRD)
[85/c83d17] Submitted process > MRD:GroupReadsByUmi (25NGS647-MIPSMRD)
[3f/2ff455] Submitted process > MRD:FastqToBam (3)
[5e/1299d7] Submitted process > MRD:pair_assembly_pear (25NGS667-MIPSMRD)
[8e/6d13c2] Submitted process > MRD:FastqToBam (4)
[05/91d8e3] Submitted process > MRD:pair_assembly_pear (25NGS569-MIPSMRD)
[a5/60a1c2] Submitted process > MRD:MapBam (25NGS667-MIPSMRD)
[42/1c0c62] Submitted process > MRD:mapping_reads (3)
[f9/d442af] Submitted process > MRD:MapBam (25NGS569-MIPSMRD)
[67/a7132f] Submitted process > MRD:mapping_reads (4)
[e1/c6f965] Submitted process > MRD:sam_conversion (3)
[ba/c58987] Submitted process > MRD:CallMolecularConsensusReads (25NGS663-MIPSMRD)
[0a/68f9db] Submitted process > MRD:CallMolecularConsensusReads (25NGS647-MIPSMRD)
[7d/2780bb] Submitted process > MRD:sam_conversion (4)
[8e/bb0c6b] Submitted process > MRD:FilterConsBam (25NGS663-MIPSMRD)
[5a/74dda7] Submitted process > MRD:somaticSeq_run_uncoll (25NGS647-MIPSMRD)
[0b/e93f49] Submitted process > MRD:ABRA2_realign (25NGS663-MIPSMRD)
[30/413b65] Submitted process > MRD:SyntheticFastq (1)
[d8/5dc1cb] Submitted process > MRD:hsmetrics_run_uncoll (25NGS667-MIPSMRD)
[04/d06209] Submitted process > MRD:coverage_mosdepth_uncoll (3)
[c2/78dab1] Submitted process > MRD:varscan_uncoll (3)
[76/b33ff0] Submitted process > MRD:coverage_bedtools_uncoll (25NGS667-MIPSMRD)
[6d/fec68e] Submitted process > MRD:minimap_getitd (3)
[ca/7c949f] Submitted process > MRD:mutect2_run_uncoll (25NGS667-MIPSMRD)
[e5/415626] Submitted process > MRD:vardict_uncoll (3)
[da/5756b1] Submitted process > MRD:pair_assembly_pear (25NGS686-MIPSMRD)
[53/75de48] Submitted process > MRD:FastqToBam (5)
[37/93598c] Submitted process > MRD:pair_assembly_pear (25MNGS69-MIPSMRD)
[34/ec5a28] Submitted process > MRD:FastqToBam (6)
[9b/8ff844] Submitted process > MRD:FilterConsBam (25NGS647-MIPSMRD)
[c2/397492] Submitted process > MRD:FastqToBam (7)
[4b/242ba8] Submitted process > MRD:pair_assembly_pear (25NGS628-MIPSMRD)
[ee/042e62] Submitted process > MRD:FastqToBam (8)
[5b/5024cc] Submitted process > MRD:pair_assembly_pear (25RSEQ217-MIPSMRD)
[f8/ee6a48] Submitted process > MRD:SyntheticFastq (2)
[52/327980] Submitted process > MRD:ABRA2_realign (25NGS647-MIPSMRD)
[5f/e4a9fe] Submitted process > MRD:GroupReadsByUmi (25NGS667-MIPSMRD)
[70/1b11c5] Submitted process > MRD:minimap_getitd (4)
[b1/790eea] Submitted process > MRD:coverage_bedtools_uncoll (25NGS569-MIPSMRD)
[3e/20acfd] Submitted process > MRD:coverage_mosdepth_uncoll (4)
[1a/53c33e] Submitted process > MRD:hsmetrics_run_uncoll (25NGS569-MIPSMRD)
[f2/62dbaf] Submitted process > MRD:vardict_uncoll (4)
[8c/e80aed] Submitted process > MRD:mutect2_run_uncoll (25NGS569-MIPSMRD)
[7e/9afe19] Submitted process > MRD:varscan_uncoll (4)
[02/f43d37] Submitted process > MRD:pair_assembly_pear (25NGS636-MIPSMRD)
[4b/093a80] Submitted process > MRD:FastqToBam (9)
[fa/ac3ebd] Submitted process > MRD:GroupReadsByUmi (25NGS569-MIPSMRD)
[1e/806613] Submitted process > MRD:mapping_reads (5)
[15/acc448] Submitted process > MRD:mapping_reads (6)
[62/609a4b] Submitted process > MRD:MapBam (25MNGS69-MIPSMRD)
[2e/a7f046] Submitted process > MRD:MapBam (25NGS686-MIPSMRD)
[44/3e7abb] Submitted process > MRD:mapping_reads (7)
[98/4a4a11] Submitted process > MRD:vardict (1)
[fc/87b937] Submitted process > MRD:coverage_bedtools (25NGS663-MIPSMRD)
[14/176cdb] Submitted process > MRD:hsmetrics_run (25NGS663-MIPSMRD)
[9a/35036d] Submitted process > MRD:coverage_mosdepth (1)
[ad/2dddae] Submitted process > MRD:CNS_filegen (1)
[6e/b11c42] Submitted process > MRD:varscan (1)
[86/80ab1a] Submitted process > MRD:mutect2_run (1)
[d4/21ba7a] Submitted process > MRD:mapping_reads (8)
[9c/20df50] Submitted process > MRD:MapBam (25NGS628-MIPSMRD)
[43/834f06] Submitted process > MRD:MapBam (25RSEQ217-MIPSMRD)
[17/67a29e] Submitted process > MRD:coverage_bedtools (25NGS647-MIPSMRD)
[82/c9bb09] Submitted process > MRD:varscan (2)
[a8/0fc0d6] Submitted process > MRD:coverage_mosdepth (2)
[79/44e574] Submitted process > MRD:mutect2_run (2)
[67/c1e944] Submitted process > MRD:vardict (2)
[fd/6e9d5c] Submitted process > MRD:hsmetrics_run (25NGS647-MIPSMRD)
[2b/aecf6f] Submitted process > MRD:CNS_filegen (2)
[a4/35dab5] Submitted process > MRD:MapBam (25NGS636-MIPSMRD)
[70/d929fe] Submitted process > MRD:mapping_reads (9)
[f7/e1b81e] Submitted process > MRD:sam_conversion (5)
